,Country,Language,Year,Value
1280,Australia,Tamil,2006,32495.0
1281,Australia,Telugu,2006,8253.0
1282,Australia,Thai,2006,22889.0
1285,Australia,Ukrainian,2006,8694.0
1286,Australia,Urdu,2006,19072.0
1302,Australia,Arabic,2006,123422.0
1307,Australia,Bengali,2006,11648.0
1314,Australia,Czech,2006,3007.0
1317,Australia,English,2006,6572917.0
1321,Australia,French,2006,19268.0
1322,Australia,German,2006,30272.0
1324,Australia,Gujarati,2006,6683.0
1327,Australia,Hindi,2006,36135.0
1329,Australia,Hungarian,2006,9248.0
1330,Australia,Indonesian,2006,19225.0
1333,Australia,Kannada,2006,1748.0
1334,Australia,Khmer,2006,11487.0
1340,Australia,Malayalam,2006,3667.0
1344,Australia,Marathi,2006,2123.0
1345,Australia,Nepali,2006,2729.0
1348,Australia,Polish,2006,23130.0
1351,Australia,Punjabi,2006,12693.0
1352,Australia,Romanian,2006,5041.0
1353,Australia,Russian,2006,15549.0
1359,Australia,Spanish,2006,45516.0
1362,Australia,Tamil,2006,16585.0
1363,Australia,Telugu,2006,4976.0
1364,Australia,Thai,2006,8361.0
1367,Australia,Ukrainian,2006,3721.0
1368,Australia,Urdu,2006,10606.0
1384,Australia,Arabic,2006,117470.0
1389,Australia,Bengali,2006,8495.0
1396,Australia,Czech,2006,3442.0
1399,Australia,English,2006,6874734.0
1403,Australia,French,2006,21347.0
1404,Australia,German,2006,36098.0
1406,Australia,Gujarati,2006,5122.0
1409,Australia,Hindi,2006,33319.0
1411,Australia,Hungarian,2006,11269.0
1412,Australia,Indonesian,2006,22200.0
1415,Australia,Khmer,2006,12792.0
1421,Australia,Malayalam,2006,3382.0
1425,Australia,Marathi,2006,1893.0
1426,Australia,Nepali,2006,1898.0
1429,Australia,Polish,2006,28889.0
1432,Australia,Punjabi,2006,9324.0
1433,Australia,Romanian,2006,5497.0
1434,Australia,Russian,2006,20108.0
1440,Australia,Spanish,2006,50317.0
1443,Australia,Tamil,2006,15910.0
1444,Australia,Telugu,2006,3277.0
1445,Australia,Thai,2006,14528.0
1448,Australia,Ukrainian,2006,4973.0
1449,Australia,Urdu,2006,8466.0
1464,Australia,Arabic,2006,2477.0
1469,Australia,Bengali,2006,56.0
1476,Australia,Czech,2006,438.0
1479,Australia,English,2006,2100691.0
1483,Australia,French,2006,2485.0
1484,Australia,German,2006,8991.0
1486,Australia,Gujarati,2006,45.0
1489,Australia,Hindi,2006,447.0
1491,Australia,Hungarian,2006,1009.0
1492,Australia,Indonesian,2006,537.0
1495,Australia,Kannada,2006,8.0
1496,Australia,Khmer,2006,406.0
1502,Australia,Malayalam,2006,30.0
1506,Australia,Marathi,2006,17.0
1507,Australia,Nepali,2006,20.0
1510,Australia,Polish,2006,1294.0
1513,Australia,Punjabi,2006,1112.0
1514,Australia,Romanian,2006,337.0
1515,Australia,Russian,2006,782.0
1521,Australia,Spanish,2006,2009.0
1524,Australia,Tamil,2006,161.0
1525,Australia,Telugu,2006,11.0
1526,Australia,Thai,2006,710.0
1529,Australia,Ukrainian,2006,316.0
1530,Australia,Urdu,2006,189.0
1546,Australia,Arabic,2006,1381.0
1551,Australia,Bengali,2006,33.0
1558,Australia,Czech,2006,228.0
1561,Australia,English,2006,1079805.0
1565,Australia,French,2006,1213.0
1566,Australia,German,2006,4317.0
1568,Australia,Gujarati,2006,22.0
1571,Australia,Hindi,2006,214.0
1573,Australia,Hungarian,2006,508.0
1574,Australia,Indonesian,2006,226.0
1577,Australia,Kannada,2006,3.0
1578,Australia,Khmer,2006,220.0
1584,Australia,Malayalam,2006,18.0
1588,Australia,Marathi,2006,9.0
1589,Australia,Nepali,2006,9.0
1592,Australia,Polish,2006,642.0
1595,Australia,Punjabi,2006,590.0
1596,Australia,Romanian,2006,176.0
1597,Australia,Russian,2006,334.0
1603,Australia,Spanish,2006,999.0
1606,Australia,Tamil,2006,80.0
1607,Australia,Telugu,2006,4.0
1608,Australia,Thai,2006,223.0
1611,Australia,Ukrainian,2006,161.0
1612,Australia,Urdu,2006,107.0
1628,Australia,Arabic,2006,1096.0
1633,Australia,Bengali,2006,23.0
1640,Australia,Czech,2006,210.0
1643,Australia,English,2006,1020886.0
1647,Australia,French,2006,1272.0
1648,Australia,German,2006,4674.0
1650,Australia,Gujarati,2006,23.0
1653,Australia,Hindi,2006,233.0
1655,Australia,Hungarian,2006,501.0
1656,Australia,Indonesian,2006,311.0
1659,Australia,Kannada,2006,5.0
1660,Australia,Khmer,2006,186.0
1666,Australia,Malayalam,2006,12.0
1670,Australia,Marathi,2006,8.0
1671,Australia,Nepali,2006,11.0
1674,Australia,Polish,2006,652.0
1677,Australia,Punjabi,2006,522.0
1678,Australia,Romanian,2006,161.0
1679,Australia,Russian,2006,448.0
1685,Australia,Spanish,2006,1010.0
1688,Australia,Tamil,2006,81.0
1689,Australia,Telugu,2006,7.0
1690,Australia,Thai,2006,487.0
1693,Australia,Ukrainian,2006,155.0
1694,Australia,Urdu,2006,82.0
1710,Australia,Arabic,2001,209372.0
1714,Australia,Bengali,2001,11666.0
1720,Australia,Czech,2001,7295.0
1722,Australia,English,2001,15013965.0
1725,Australia,French,2001,39643.0
1726,Australia,German,2001,76443.0
1728,Australia,Gujarati,2001,5495.0
1731,Australia,Hindi,2001,47818.0
1733,Australia,Hungarian,2001,24484.0
1734,Australia,Indonesian,2001,38724.0
1737,Australia,Khmer,2001,21982.0
1744,Australia,Malayalam,2001,2968.0
1748,Australia,Marathi,2001,2265.0
1749,Australia,Nepali,2001,2496.0
1755,Australia,Polish,2001,59056.0
1757,Australia,Punjabi,2001,14896.0
1758,Australia,Romanian,2001,10268.0
1759,Australia,Russian,2001,34789.0
1765,Australia,Spanish,2001,93593.0
1767,Australia,Tamil,2001,24073.0
1768,Australia,Telugu,2001,3484.0
1769,Australia,Thai,2001,17349.0
1772,Australia,Ukrainian,2001,10725.0
1773,Australia,Urdu,2001,12485.0
1788,Australia,Arabic,2001,108729.0
1792,Australia,Bengali,2001,6667.0
1798,Australia,Czech,2001,3580.0
1800,Australia,English,2001,7410456.0
