,Country,Language,Year,Value
317,Australia,Turkish,2011,59623
318,Australia,Ukrainian,2011,7763
319,Australia,Urdu,2011,36835
320,Australia,Vietnamese,2011,233387
321,Australia,Other,2011,93143
322,Australia,Cook Islands Maori,2011,4638
323,Australia,Indo-Aryan,2011,4231
324,Australia,Serbo-Croatian,2011,6688
325,Australia,Lao,2011,9540
326,Australia,Non-verbal/inadequately described,2011,21908
327,Australia,"Southern Asian, nfd",2011,8151
328,Australia,African Languages (excl. North Africa),2011,73741
329,Australia,Dari,2011,20179
330,Australia,Auslan,2011,8407
331,Australia,Min Nan,2011,16374
332,Australia,Total,2011,10634012
333,Australia,Albanian,2011,4516
334,Australia,Arabic,2011,147232
335,Australia,Armenian,2011,4609
336,Australia,Assyrian,2011,10471
337,Australia,Australian Indigenous languages,2011,29863
338,Australia,Afrikaans,2011,17419
339,Australia,Bengali,2011,19677
340,Australia,Bosnian,2011,7998
341,Australia,Burmese,2011,5975
342,Australia,Cantonese,2011,123790
343,Australia,Chinese,2011,11620
344,Australia,Creole,2011,1897
345,Australia,Croatian,2011,29869
346,Australia,Danish,2011,2704
347,Australia,Dutch,2011,16730
348,Australia,English,2011,8147579
349,Australia,Fijian,2011,3369
350,Australia,Pilipino,2011,22393
351,Australia,Finnish,2011,2621
352,Australia,French,2011,27670
353,Australia,German,2011,36881
354,Australia,Greek,2011,123463
355,Australia,Gujarati,2011,18514
356,Australia,Hakka,2011,4378
357,Australia,Hebrew,2011,5079
358,Australia,Hindi,2011,57922
359,Australia,Hungarian,2011,9421
360,Australia,Indonesian,2011,26036
361,Australia,Italian,2011,144428
362,Australia,Japanese,2011,17868
363,Australia,Kannada,2011,3056
364,Australia,Khmer,2011,13862
365,Australia,Korean,2011,37854
366,Australia,Kurd,2011,2424
367,Australia,Latvian,2011,1462
368,Australia,Macedonian,2011,34307
369,Australia,Malay,2011,7583
370,Australia,Malayalam,2011,12867
371,Australia,Maltese,2011,16569
372,Australia,Mandarin,2011,154259
373,Australia,Maori,2011,4873
374,Australia,Marathi,2011,4481
375,Australia,Nepali,2011,15608
376,Australia,Norwegian,2011,1169
377,Australia,Not stated,2011,593238
378,Australia,Persian,2011,17770
379,Australia,Polish,2011,22239
380,Australia,Pashto,2011,2682
381,Australia,Portuguese,2011,16212
382,Australia,Punjabi,2011,42200
383,Australia,Romanian,2011,5849
384,Australia,Russian,2011,18999
385,Australia,Samoan,2011,17851
386,Australia,Serbian,2011,27276
387,Australia,Sinhalese,2011,24696
388,Australia,Slovak,2011,2300
389,Australia,Slovenian,2011,1932
390,Australia,Spanish,2011,55838
391,Australia,Swedish,2011,3256
392,Australia,Tagalog,2011,33532
393,Australia,Tamil,2011,25741
394,Australia,Telugu,2011,10557
395,Australia,Thai,2011,12648
396,Australia,Tongan,2011,7885
397,Australia,Turkish,2011,29899
398,Australia,Ukrainian,2011,3228
399,Australia,Urdu,2011,20635
400,Australia,Vietnamese,2011,111086
401,Australia,Other,2011,47463
402,Australia,Cook Islands Maori,2011,2278
403,Australia,Indo-Aryan,2011,2475
404,Australia,Serbo-Croatian,2011,3204
405,Australia,Lao,2011,4508
406,Australia,Non-verbal/inadequately described,2011,11861
407,Australia,"Southern Asian, nfd",2011,4245
408,Australia,African Languages (excl. North Africa),2011,36360
409,Australia,Dari,2011,10635
410,Australia,Auslan,2011,3692
411,Australia,Min Nan,2011,7376
412,Australia,Total,2011,10873707
413,Australia,Albanian,2011,4428
414,Australia,Arabic,2011,139946
415,Australia,Armenian,2011,5098
416,Australia,Assyrian,2011,11008
417,Australia,Australian Indigenous languages,2011,31935
418,Australia,Afrikaans,2011,17611
419,Australia,Bengali,2011,15968
420,Australia,Bosnian,2011,8272
421,Australia,Burmese,2011,6362
422,Australia,Cantonese,2011,139884
423,Australia,Chinese,2011,12178
424,Australia,Creole,2011,2084
425,Australia,Croatian,2011,31677
426,Australia,Danish,2011,3047
427,Australia,Dutch,2011,20517
428,Australia,English,2011,8361710
429,Australia,Fijian,2011,3459
430,Australia,Pilipino,2011,33009
431,Australia,Finnish,2011,3350
432,Australia,French,2011,30070
433,Australia,German,2011,43489
434,Australia,Greek,2011,128754
435,Australia,Gujarati,2011,15698
436,Australia,Hakka,2011,4544
437,Australia,Hebrew,2011,4585
438,Australia,Hindi,2011,53430
439,Australia,Hungarian,2011,11459
440,Australia,Indonesian,2011,29833
441,Australia,Italian,2011,155404
442,Australia,Japanese,2011,25823
443,Australia,Kannada,2011,2871
444,Australia,Khmer,2011,15656
445,Australia,Korean,2011,41929
446,Australia,Kurd,2011,2164
447,Australia,Latvian,2011,2164
448,Australia,Macedonian,2011,34541
449,Australia,Malay,2011,8982
450,Australia,Malayalam,2011,12244
451,Australia,Maltese,2011,17828
452,Australia,Mandarin,2011,182149
453,Australia,Maori,2011,5105
454,Australia,Marathi,2011,4091
455,Australia,Nepali,2011,11546
456,Australia,Norwegian,2011,1506
457,Australia,Not stated,2011,492252
458,Australia,Persian,2011,16792
459,Australia,Polish,2011,28455
460,Australia,Pashto,2011,2119
461,Australia,Portuguese,2011,17139
462,Australia,Punjabi,2011,29029
463,Australia,Romanian,2011,6402
464,Australia,Russian,2011,25059
465,Australia,Samoan,2011,18725
466,Australia,Serbian,2011,27836
467,Australia,Sinhalese,2011,23497
468,Australia,Slovak,2011,2692
469,Australia,Slovenian,2011,2252
470,Australia,Spanish,2011,61659
471,Australia,Swedish,2011,4074
472,Australia,Tagalog,2011,47923
473,Australia,Tamil,2011,24411
474,Australia,Telugu,2011,8165
475,Australia,Thai,2011,24033
476,Australia,Tongan,2011,8122
477,Australia,Turkish,2011,29724
478,Australia,Ukrainian,2011,4535
479,Australia,Urdu,2011,16200
480,Australia,Vietnamese,2011,122301
